@relation KDDTrain20DOS-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute duration numeric
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land {0,1}
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute hot numeric
@attribute num_failed_logins numeric
@attribute logged_in {0,1}
@attribute num_compromised numeric
@attribute root_shell numeric
@attribute su_attempted numeric
@attribute num_root numeric
@attribute num_file_creations numeric
@attribute num_shells numeric
@attribute num_access_files numeric
@attribute num_outbound_cmds numeric
@attribute is_host_login {0,1}
@attribute is_guest_login {0,1}
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute protocol_type {1,2,3}
@attribute service {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute flag {1,2,3,4,5,6,7,8,9,10,11}
@attribute xAttack {0,1}

@data
0,0.000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.141176,0.027451,0.19,0.11,0.19,0,0,0,0,0,1,20,2,0
0.13447,0,0.000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.901961,0.9,0.02,0,0,0.27,0.3,0.01,0,1,61,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127202,0.031311,1,1,0,0,0.25,0.06,0,1,0.247059,0.25,0.02,0.01,0,0.97,0.98,0,0,1,19,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475538,0.005871,0,0,1,1,0.01,0.07,0,1,0.011765,0.01,0.07,0,0,0,0,1,1,1,6,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187867,0.187867,1,1,0,0,1,0,0,1,1,1,0,0,0,0.59,0.59,0.38,0.38,1,25,4,1
0,0.000193,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.005871,0,0,0,0,1,0,0.67,0.003922,0.098039,1,0,1,0.52,0,0,0,0,2,16,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424658,0.033268,0,0,1,1,0.08,0.06,0,1,0.066667,0.07,0.07,0,0,0,0,1,1,1,8,1,1
0,0.000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07045,0.07045,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,16,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195695,0.195695,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,61,4,1
0,0,0.000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,1,1,0,0,1,0,0,1,0.305882,0.31,0.62,0,0,0.21,0.68,0.6,0,1,61,7,1
0,0.001066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029354,0.029354,0,0,0,0,1,0,0,0.266667,0.082353,0.31,0.04,0.31,0,0,0,0,0,1,20,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084149,0.011742,1,1,0,0,0.14,0.16,0,1,0.023529,0.02,0.15,0,0,1,1,0,0,1,17,4,1
0,0.000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700587,0.700587,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,16,2,1
0,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.572549,0.164706,0.29,0.05,0.29,0,0.01,0,0,0,2,66,2,0
0.000018,0.000339,0.000057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007828,0.005871,0,0,0.25,0,0.75,0.5,0,1,0.960784,0.96,0.04,0,0,0,0,0.04,0,1,55,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207436,0.207436,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,61,4,1
0,0.000006,0.000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152642,0.277886,0,0,0,0,1,0,0.01,0.952941,0.835294,0.88,0.01,0.01,0,0,0,0,0,3,12,2,0
0.000018,0.000339,0.000057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005871,0.005871,0,0,0,0,1,0,0,1,0.960784,0.96,0.04,0,0,0,0,0.04,0,1,55,2,1
0.016529,0.007371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.050881,0.050881,0.04,0.04,0.92,0.92,1,0,0,1,1,1,0,0,0,0,0,0.09,0.09,1,25,5,1
0,0.000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704501,0.704501,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,16,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324853,0.017613,1,1,0,0,0.05,0.08,0,1,0.035294,0.04,0.09,0,0,1,1,0,0,1,43,4,1
0,0.000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136986,0.136986,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,16,2,1
0,0.000006,0.000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367906,0.365949,0,0,0,0,0.99,0.01,0,1,1,1,0,0,0,0,0,0,0,3,12,2,0
0,0.000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998043,0.998043,0,0,0,0,1,0,0,0.298039,0.305882,1,0,1,0.03,0,0,0,0,2,16,2,1
0.014949,0.008133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.074364,0.074364,0,0,1,1,1,0,0,1,0.996078,1,0.01,0,0,0.01,0.01,0.54,0.54,1,25,5,1
0.136343,0,0.000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.854902,0.85,0.03,0,0,0.33,0.39,0.12,0.06,1,61,2,1
0,0.000006,0.000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426614,0.426614,0,0,0,0,1,0,0,1,1,1,0,0.01,0,0,0,0,0,3,12,2,0
